theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(4,1)",0.4,0.02,16,0.02,0.08,0.21,0.19,0.18,0.32
"(4,1)",0.4,0.02,17,0.02,0.08,0.16,0.2,0.19,0.35
"(4,1)",0.4,0.02,18,0.02,0.06,0.17,0.18,0.14,0.43
"(4,1)",0.4,0.02,19,0.02,0.06,0.14,0.16,0.15,0.47
"(4,1)",0.4,0.02,20,0.02,0.06,0.1,0.18,0.13,0.51
"(4,1)",0.4,0.02,21,0.02,0.06,0.08,0.17,0.13,0.54
"(4,1)",0.4,0.02,22,0.02,0.06,0.07,0.14,0.15,0.56
"(4,1)",0.4,0.02,23,0.02,0.06,0.07,0.12,0.11,0.62
"(4,1)",0.4,0.02,24,0.02,0.05,0.07,0.09,0.08,0.69
"(4,1)",0.4,0.02,25,0.02,0.05,0.06,0.09,0.07,0.71
"(4,1)",0.4,0.02,26,0.01,0.06,0.06,0.05,0.09,0.73
"(4,1)",0.4,0.02,27,0.01,0.06,0.05,0.05,0.07,0.76
"(4,1)",0.4,0.02,28,0.01,0.06,0.05,0.05,0.07,0.76
"(4,1)",0.4,0.02,29,0.01,0.06,0.05,0.04,0.07,0.77
"(4,1)",0.4,0.02,30,0.01,0.06,0.04,0.04,0.06,0.79
"(4,1)",0.4,0.02,31,0.01,0.06,0.03,0.05,0.05,0.8
"(4,1)",0.4,0.02,32,0.01,0.05,0.04,0.04,0.04,0.82
"(4,1)",0.4,0.02,33,0.01,0.05,0.04,0.04,0.01,0.85
"(4,1)",0.4,0.02,34,0.01,0.05,0.04,0.01,0.03,0.86
"(4,1)",0.4,0.02,35,0.01,0.05,0.04,0.0,0.03,0.87
"(4,1)",0.4,0.02,36,0.01,0.05,0.04,0.0,0.03,0.87
"(4,1)",0.4,0.02,37,0.01,0.05,0.04,0.0,0.01,0.89
"(4,1)",0.4,0.02,38,0.01,0.05,0.03,0.01,0.01,0.89
"(4,1)",0.4,0.02,39,0.01,0.05,0.03,0.01,0.01,0.89
"(4,1)",0.4,0.02,40,0.01,0.05,0.03,0.01,0.0,0.9
"(4,1)",0.4,0.02,41,0.01,0.05,0.03,0.01,0.0,0.9
"(4,1)",0.4,0.02,42,0.01,0.05,0.03,0.0,0.01,0.9
"(4,1)",0.4,0.02,43,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,44,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,45,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,46,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,47,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,48,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,49,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,50,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,51,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,52,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,53,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,54,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,55,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,56,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,57,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,58,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,59,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,60,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,61,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,62,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,63,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,64,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,65,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,66,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,67,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,68,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,69,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.4,0.02,70,0.01,0.05,0.03,0.0,0.0,0.91
"(4,1)",0.5,0.02,1,0.77,0.23,0.0,0.0,0.0,0.0
"(4,1)",0.5,0.02,2,0.29,0.7,0.01,0.0,0.0,0.0
"(4,1)",0.5,0.02,3,0.23,0.65,0.12,0.0,0.0,0.0
"(4,1)",0.5,0.02,4,0.15,0.5,0.32,0.03,0.0,0.0
"(4,1)",0.5,0.02,5,0.1,0.4,0.42,0.07,0.01,0.0
"(4,1)",0.5,0.02,6,0.1,0.32,0.37,0.2,0.01,0.0
"(4,1)",0.5,0.02,7,0.09,0.29,0.36,0.23,0.02,0.01
"(4,1)",0.5,0.02,8,0.09,0.28,0.34,0.24,0.04,0.01
"(4,1)",0.5,0.02,9,0.08,0.25,0.29,0.28,0.09,0.01
"(4,1)",0.5,0.02,10,0.07,0.23,0.29,0.25,0.14,0.02
"(4,1)",0.5,0.02,11,0.06,0.21,0.26,0.25,0.2,0.02
"(4,1)",0.5,0.02,12,0.05,0.21,0.23,0.25,0.22,0.04
"(4,1)",0.5,0.02,13,0.05,0.2,0.23,0.22,0.2,0.1
"(4,1)",0.5,0.02,14,0.05,0.19,0.2,0.23,0.2,0.13
"(4,1)",0.5,0.02,15,0.05,0.18,0.18,0.23,0.21,0.15
"(4,1)",0.5,0.02,16,0.05,0.17,0.18,0.16,0.22,0.22
"(4,1)",0.5,0.02,17,0.05,0.17,0.15,0.18,0.19,0.26
"(4,1)",0.5,0.02,18,0.05,0.15,0.15,0.17,0.16,0.32
"(4,1)",0.5,0.02,19,0.05,0.13,0.17,0.15,0.11,0.39
"(4,1)",0.5,0.02,20,0.05,0.12,0.18,0.13,0.1,0.42
"(4,1)",0.5,0.02,21,0.05,0.09,0.19,0.14,0.07,0.46
"(4,1)",0.5,0.02,22,0.05,0.09,0.15,0.15,0.08,0.48
"(4,1)",0.5,0.02,23,0.05,0.09,0.14,0.12,0.11,0.49
"(4,1)",0.5,0.02,24,0.05,0.09,0.12,0.13,0.1,0.51
"(4,1)",0.5,0.02,25,0.05,0.09,0.11,0.11,0.08,0.56
"(4,1)",0.5,0.02,26,0.05,0.09,0.1,0.09,0.09,0.58
"(4,1)",0.5,0.02,27,0.05,0.08,0.11,0.09,0.06,0.61
"(4,1)",0.5,0.02,28,0.05,0.07,0.12,0.07,0.05,0.64
"(4,1)",0.5,0.02,29,0.05,0.07,0.11,0.05,0.07,0.65
"(4,1)",0.5,0.02,30,0.05,0.07,0.1,0.06,0.04,0.68
"(4,1)",0.5,0.02,31,0.05,0.07,0.1,0.06,0.04,0.68
"(4,1)",0.5,0.02,32,0.05,0.07,0.08,0.06,0.04,0.7
"(4,1)",0.5,0.02,33,0.05,0.07,0.08,0.06,0.02,0.72
"(4,1)",0.5,0.02,34,0.05,0.07,0.08,0.06,0.02,0.72
"(4,1)",0.5,0.02,35,0.05,0.06,0.09,0.06,0.01,0.73
"(4,1)",0.5,0.02,36,0.05,0.06,0.09,0.03,0.04,0.73
"(4,1)",0.5,0.02,37,0.05,0.06,0.06,0.06,0.03,0.74
"(4,1)",0.5,0.02,38,0.05,0.06,0.06,0.06,0.03,0.74
"(4,1)",0.5,0.02,39,0.05,0.06,0.05,0.06,0.02,0.76
"(4,1)",0.5,0.02,40,0.05,0.06,0.05,0.03,0.05,0.76
"(4,1)",0.5,0.02,41,0.05,0.06,0.05,0.03,0.03,0.78
"(4,1)",0.5,0.02,42,0.05,0.05,0.06,0.03,0.03,0.78
"(4,1)",0.5,0.02,43,0.05,0.05,0.05,0.04,0.03,0.78
"(4,1)",0.5,0.02,44,0.05,0.05,0.05,0.04,0.02,0.79
"(4,1)",0.5,0.02,45,0.05,0.05,0.05,0.04,0.01,0.8
"(4,1)",0.5,0.02,46,0.05,0.05,0.05,0.03,0.02,0.8
"(4,1)",0.5,0.02,47,0.05,0.05,0.05,0.02,0.03,0.8
"(4,1)",0.5,0.02,48,0.05,0.05,0.04,0.03,0.03,0.8
"(4,1)",0.5,0.02,49,0.05,0.05,0.04,0.03,0.03,0.8
"(4,1)",0.5,0.02,50,0.05,0.05,0.04,0.03,0.01,0.82
"(4,1)",0.5,0.02,51,0.05,0.05,0.03,0.04,0.01,0.82
"(4,1)",0.5,0.02,52,0.05,0.05,0.03,0.03,0.02,0.82
"(4,1)",0.5,0.02,53,0.05,0.04,0.04,0.03,0.02,0.82
"(4,1)",0.5,0.02,54,0.05,0.04,0.03,0.04,0.0,0.84
"(4,1)",0.5,0.02,55,0.05,0.04,0.03,0.04,0.0,0.84
"(4,1)",0.5,0.02,56,0.05,0.04,0.02,0.05,0.0,0.84
"(4,1)",0.5,0.02,57,0.05,0.04,0.02,0.05,0.0,0.84
"(4,1)",0.5,0.02,58,0.05,0.04,0.02,0.05,0.0,0.84
"(4,1)",0.5,0.02,59,0.05,0.04,0.02,0.05,0.0,0.84
"(4,1)",0.5,0.02,60,0.05,0.04,0.01,0.04,0.02,0.84
"(4,1)",0.5,0.02,61,0.04,0.05,0.01,0.02,0.04,0.84
"(4,1)",0.5,0.02,62,0.04,0.05,0.01,0.02,0.03,0.85
"(4,1)",0.5,0.02,63,0.04,0.05,0.01,0.02,0.03,0.85
"(4,1)",0.5,0.02,64,0.04,0.05,0.01,0.02,0.02,0.86
"(4,1)",0.5,0.02,65,0.04,0.05,0.01,0.02,0.01,0.87
"(4,1)",0.5,0.02,66,0.04,0.05,0.01,0.02,0.01,0.87
"(4,1)",0.5,0.02,67,0.04,0.05,0.01,0.0,0.02,0.88
"(4,1)",0.5,0.02,68,0.04,0.05,0.01,0.0,0.02,0.88
"(4,1)",0.5,0.02,69,0.04,0.05,0.01,0.0,0.02,0.88
"(4,1)",0.5,0.02,70,0.04,0.05,0.01,0.0,0.02,0.88
"(4,1)",0.6,0.02,1,0.5,0.5,0.0,0.0,0.0,0.0
"(4,1)",0.6,0.02,2,0.24,0.75,0.01,0.0,0.0,0.0
"(4,1)",0.6,0.02,3,0.17,0.66,0.17,0.0,0.0,0.0
"(4,1)",0.6,0.02,4,0.13,0.53,0.32,0.02,0.0,0.0
"(4,1)",0.6,0.02,5,0.09,0.46,0.39,0.05,0.01,0.0
"(4,1)",0.6,0.02,6,0.07,0.42,0.41,0.09,0.01,0.0
"(4,1)",0.6,0.02,7,0.05,0.37,0.43,0.12,0.03,0.0
"(4,1)",0.6,0.02,8,0.03,0.32,0.44,0.15,0.05,0.01
"(4,1)",0.6,0.02,9,0.03,0.29,0.4,0.21,0.05,0.02
"(4,1)",0.6,0.02,10,0.01,0.28,0.37,0.24,0.07,0.03
"(4,1)",0.6,0.02,11,0.01,0.24,0.38,0.23,0.09,0.05
"(4,1)",0.6,0.02,12,0.01,0.2,0.4,0.22,0.08,0.09
"(4,1)",0.6,0.02,13,0.01,0.2,0.37,0.21,0.1,0.11
"(4,1)",0.6,0.02,14,0.01,0.19,0.3,0.26,0.11,0.13
"(4,1)",0.6,0.02,15,0.01,0.17,0.3,0.25,0.1,0.17
"(4,1)",0.6,0.02,16,0.01,0.17,0.24,0.26,0.13,0.19
"(4,1)",0.6,0.02,17,0.01,0.14,0.25,0.21,0.16,0.23
"(4,1)",0.6,0.02,18,0.01,0.11,0.27,0.17,0.21,0.23
"(4,1)",0.6,0.02,19,0.01,0.1,0.26,0.16,0.21,0.26
"(4,1)",0.6,0.02,20,0.01,0.1,0.25,0.13,0.18,0.33
"(4,1)",0.6,0.02,21,0.01,0.09,0.24,0.11,0.15,0.4
"(4,1)",0.6,0.02,22,0.01,0.09,0.22,0.13,0.11,0.44
"(4,1)",0.6,0.02,23,0.01,0.08,0.2,0.14,0.11,0.46
"(4,1)",0.6,0.02,24,0.01,0.08,0.19,0.12,0.12,0.48
"(4,1)",0.6,0.02,25,0.01,0.08,0.16,0.11,0.12,0.52
"(4,1)",0.6,0.02,26,0.01,0.08,0.15,0.12,0.07,0.57
"(4,1)",0.6,0.02,27,0.01,0.07,0.16,0.09,0.08,0.59
"(4,1)",0.6,0.02,28,0.01,0.07,0.16,0.09,0.06,0.61
"(4,1)",0.6,0.02,29,0.0,0.08,0.16,0.09,0.03,0.64
"(4,1)",0.6,0.02,30,0.0,0.08,0.16,0.07,0.03,0.66
"(4,1)",0.6,0.02,31,0.0,0.08,0.13,0.07,0.04,0.68
"(4,1)",0.6,0.02,32,0.0,0.08,0.12,0.06,0.04,0.7
"(4,1)",0.6,0.02,33,0.0,0.08,0.12,0.04,0.06,0.7
"(4,1)",0.6,0.02,34,0.0,0.08,0.12,0.03,0.06,0.71
"(4,1)",0.6,0.02,35,0.0,0.07,0.11,0.03,0.07,0.72
"(4,1)",0.6,0.02,36,0.0,0.07,0.11,0.03,0.07,0.72
"(4,1)",0.6,0.02,37,0.0,0.07,0.11,0.03,0.07,0.72
"(4,1)",0.6,0.02,38,0.0,0.07,0.11,0.03,0.06,0.73
"(4,1)",0.6,0.02,39,0.0,0.06,0.1,0.05,0.04,0.75
"(4,1)",0.6,0.02,40,0.0,0.05,0.11,0.04,0.03,0.77
"(4,1)",0.6,0.02,41,0.0,0.04,0.11,0.05,0.03,0.77
"(4,1)",0.6,0.02,42,0.0,0.04,0.11,0.04,0.04,0.77
"(4,1)",0.6,0.02,43,0.0,0.04,0.09,0.04,0.05,0.78
"(4,1)",0.6,0.02,44,0.0,0.04,0.08,0.05,0.03,0.8
"(4,1)",0.6,0.02,45,0.0,0.04,0.07,0.03,0.05,0.81
"(4,1)",0.6,0.02,46,0.0,0.04,0.06,0.04,0.03,0.83
"(4,1)",0.6,0.02,47,0.0,0.04,0.06,0.04,0.01,0.85
"(4,1)",0.6,0.02,48,0.0,0.04,0.06,0.04,0.01,0.85
"(4,1)",0.6,0.02,49,0.0,0.04,0.06,0.03,0.02,0.85
"(4,1)",0.6,0.02,50,0.0,0.04,0.06,0.01,0.04,0.85
"(4,1)",0.6,0.02,51,0.0,0.04,0.06,0.01,0.03,0.86
"(4,1)",0.6,0.02,52,0.0,0.04,0.06,0.01,0.02,0.87
"(4,1)",0.6,0.02,53,0.0,0.04,0.06,0.0,0.03,0.87
"(4,1)",0.6,0.02,54,0.0,0.04,0.06,0.0,0.01,0.89
"(4,1)",0.6,0.02,55,0.0,0.04,0.06,0.0,0.01,0.89
"(4,1)",0.6,0.02,56,0.0,0.04,0.06,0.0,0.01,0.89
"(4,1)",0.6,0.02,57,0.0,0.04,0.06,0.0,0.01,0.89
"(4,1)",0.6,0.02,58,0.0,0.04,0.06,0.0,0.01,0.89
"(4,1)",0.6,0.02,59,0.0,0.04,0.06,0.0,0.01,0.89
"(4,1)",0.6,0.02,60,0.0,0.04,0.06,0.0,0.01,0.89
"(4,1)",0.6,0.02,61,0.0,0.04,0.06,0.0,0.01,0.89
"(4,1)",0.6,0.02,62,0.0,0.04,0.06,0.0,0.01,0.89
"(4,1)",0.6,0.02,63,0.0,0.04,0.06,0.0,0.01,0.89
"(4,1)",0.6,0.02,64,0.0,0.04,0.05,0.01,0.0,0.9
"(4,1)",0.6,0.02,65,0.0,0.04,0.05,0.01,0.0,0.9
"(4,1)",0.6,0.02,66,0.0,0.04,0.05,0.01,0.0,0.9
"(4,1)",0.6,0.02,67,0.0,0.04,0.05,0.01,0.0,0.9
"(4,1)",0.6,0.02,68,0.0,0.04,0.05,0.01,0.0,0.9
"(4,1)",0.6,0.02,69,0.0,0.04,0.05,0.01,0.0,0.9
"(4,1)",0.6,0.02,70,0.0,0.04,0.05,0.01,0.0,0.9
"(4,1)",0.7,0.02,1,0.53,0.47,0.0,0.0,0.0,0.0
"(4,1)",0.7,0.02,2,0.39,0.58,0.03,0.0,0.0,0.0
"(4,1)",0.7,0.02,3,0.34,0.52,0.14,0.0,0.0,0.0
"(4,1)",0.7,0.02,4,0.26,0.51,0.2,0.03,0.0,0.0
"(4,1)",0.7,0.02,5,0.19,0.49,0.28,0.04,0.0,0.0
"(4,1)",0.7,0.02,6,0.16,0.46,0.32,0.06,0.0,0.0
"(4,1)",0.7,0.02,7,0.11,0.43,0.37,0.09,0.0,0.0
"(4,1)",0.7,0.02,8,0.1,0.38,0.38,0.13,0.01,0.0
"(4,1)",0.7,0.02,9,0.1,0.35,0.38,0.14,0.03,0.0
"(4,1)",0.7,0.02,10,0.1,0.32,0.35,0.15,0.08,0.0
"(4,1)",0.7,0.02,11,0.1,0.25,0.38,0.18,0.09,0.0
"(4,1)",0.7,0.02,12,0.1,0.24,0.35,0.18,0.09,0.04
"(4,1)",0.7,0.02,13,0.1,0.22,0.31,0.22,0.09,0.06
"(4,1)",0.7,0.02,14,0.1,0.19,0.29,0.25,0.06,0.11
"(4,1)",0.7,0.02,15,0.08,0.19,0.25,0.24,0.11,0.13
"(4,1)",0.7,0.02,16,0.08,0.19,0.24,0.22,0.13,0.14
"(4,1)",0.7,0.02,17,0.07,0.2,0.2,0.21,0.16,0.16
"(4,1)",0.7,0.02,18,0.06,0.21,0.18,0.18,0.17,0.2
"(4,1)",0.7,0.02,19,0.06,0.2,0.14,0.16,0.21,0.23
"(4,1)",0.7,0.02,20,0.06,0.2,0.12,0.12,0.24,0.26
"(4,1)",0.7,0.02,21,0.06,0.18,0.12,0.13,0.2,0.31
"(4,1)",0.7,0.02,22,0.06,0.16,0.12,0.12,0.18,0.36
"(4,1)",0.7,0.02,23,0.06,0.15,0.13,0.11,0.15,0.4
"(4,1)",0.7,0.02,24,0.05,0.14,0.15,0.08,0.13,0.45
"(4,1)",0.7,0.02,25,0.05,0.12,0.16,0.06,0.11,0.5
"(4,1)",0.7,0.02,26,0.04,0.13,0.15,0.07,0.07,0.54
"(4,1)",0.7,0.02,27,0.04,0.13,0.14,0.07,0.07,0.55
"(4,1)",0.7,0.02,28,0.04,0.11,0.13,0.09,0.03,0.6
"(4,1)",0.7,0.02,29,0.03,0.11,0.12,0.08,0.05,0.61
"(4,1)",0.7,0.02,30,0.03,0.1,0.1,0.1,0.06,0.61
"(4,1)",0.7,0.02,31,0.03,0.1,0.09,0.1,0.05,0.63
"(4,1)",0.7,0.02,32,0.03,0.09,0.1,0.1,0.05,0.63
"(4,1)",0.7,0.02,33,0.03,0.09,0.09,0.1,0.05,0.64
"(4,1)",0.7,0.02,34,0.03,0.09,0.09,0.08,0.06,0.65
"(4,1)",0.7,0.02,35,0.03,0.09,0.09,0.07,0.04,0.68
"(4,1)",0.7,0.02,36,0.03,0.09,0.06,0.08,0.06,0.68
"(4,1)",0.7,0.02,37,0.02,0.08,0.08,0.05,0.07,0.7
"(4,1)",0.7,0.02,38,0.02,0.08,0.06,0.07,0.06,0.71
"(4,1)",0.7,0.02,39,0.02,0.08,0.05,0.08,0.05,0.72
"(4,1)",0.7,0.02,40,0.02,0.07,0.06,0.08,0.03,0.74
"(4,1)",0.7,0.02,41,0.02,0.07,0.06,0.06,0.04,0.75
"(4,1)",0.7,0.02,42,0.02,0.07,0.05,0.07,0.04,0.75
"(4,1)",0.7,0.02,43,0.02,0.07,0.05,0.05,0.06,0.75
"(4,1)",0.7,0.02,44,0.02,0.07,0.05,0.04,0.07,0.75
"(4,1)",0.7,0.02,45,0.02,0.06,0.06,0.03,0.07,0.76
"(4,1)",0.7,0.02,46,0.02,0.06,0.05,0.04,0.07,0.76
"(4,1)",0.7,0.02,47,0.02,0.06,0.05,0.02,0.08,0.77
"(4,1)",0.7,0.02,48,0.02,0.06,0.05,0.02,0.08,0.77
"(4,1)",0.7,0.02,49,0.02,0.06,0.05,0.02,0.07,0.78
"(4,1)",0.7,0.02,50,0.02,0.06,0.04,0.03,0.06,0.79
"(4,1)",0.7,0.02,51,0.02,0.06,0.03,0.04,0.04,0.81
"(4,1)",0.7,0.02,52,0.02,0.06,0.03,0.03,0.05,0.81
"(4,1)",0.7,0.02,53,0.02,0.06,0.03,0.03,0.05,0.81
"(4,1)",0.7,0.02,54,0.02,0.06,0.03,0.03,0.03,0.83
"(4,1)",0.7,0.02,55,0.02,0.06,0.03,0.03,0.02,0.84
"(4,1)",0.7,0.02,56,0.02,0.06,0.03,0.03,0.02,0.84
"(4,1)",0.7,0.02,57,0.02,0.06,0.03,0.02,0.03,0.84
"(4,1)",0.7,0.02,58,0.02,0.06,0.03,0.01,0.04,0.84
"(4,1)",0.7,0.02,59,0.02,0.06,0.03,0.01,0.04,0.84
"(4,1)",0.7,0.02,60,0.02,0.06,0.03,0.01,0.04,0.84
"(4,1)",0.7,0.02,61,0.02,0.06,0.03,0.01,0.03,0.85
"(4,1)",0.7,0.02,62,0.02,0.06,0.03,0.01,0.03,0.85
"(4,1)",0.7,0.02,63,0.02,0.06,0.03,0.01,0.03,0.85
"(4,1)",0.7,0.02,64,0.02,0.06,0.03,0.01,0.03,0.85
"(4,1)",0.7,0.02,65,0.02,0.06,0.03,0.01,0.03,0.85
"(4,1)",0.7,0.02,66,0.02,0.06,0.03,0.0,0.04,0.85
"(4,1)",0.7,0.02,67,0.02,0.06,0.03,0.0,0.03,0.86
"(4,1)",0.7,0.02,68,0.02,0.06,0.03,0.0,0.03,0.86
"(4,1)",0.7,0.02,69,0.02,0.06,0.03,0.0,0.02,0.87
"(4,1)",0.7,0.02,70,0.02,0.06,0.03,0.0,0.02,0.87
"(4,1)",0.8,0.02,1,0.55,0.45,0.0,0.0,0.0,0.0
"(4,1)",0.8,0.02,2,0.46,0.48,0.06,0.0,0.0,0.0
"(4,1)",0.8,0.02,3,0.42,0.45,0.1,0.03,0.0,0.0
"(4,1)",0.8,0.02,4,0.35,0.49,0.1,0.06,0.0,0.0
"(4,1)",0.8,0.02,5,0.29,0.49,0.15,0.06,0.01,0.0
"(4,1)",0.8,0.02,6,0.28,0.44,0.2,0.07,0.01,0.0
"(4,1)",0.8,0.02,7,0.26,0.41,0.23,0.09,0.01,0.0
"(4,1)",0.8,0.02,8,0.22,0.39,0.26,0.11,0.02,0.0
"(4,1)",0.8,0.02,9,0.2,0.37,0.28,0.11,0.04,0.0
"(4,1)",0.8,0.02,10,0.19,0.35,0.25,0.13,0.07,0.01
"(4,1)",0.8,0.02,11,0.17,0.35,0.26,0.14,0.07,0.01
"(4,1)",0.8,0.02,12,0.16,0.33,0.25,0.15,0.08,0.03
"(4,1)",0.8,0.02,13,0.15,0.27,0.26,0.19,0.09,0.04
"(4,1)",0.8,0.02,14,0.14,0.26,0.26,0.16,0.11,0.07
"(4,1)",0.8,0.02,15,0.13,0.24,0.24,0.2,0.08,0.11
"(4,1)",0.8,0.02,16,0.12,0.23,0.21,0.23,0.07,0.14
"(4,1)",0.8,0.02,17,0.11,0.21,0.21,0.23,0.08,0.16
"(4,1)",0.8,0.02,18,0.09,0.2,0.19,0.25,0.09,0.18
"(4,1)",0.8,0.02,19,0.08,0.21,0.15,0.22,0.13,0.21
"(4,1)",0.8,0.02,20,0.08,0.15,0.19,0.17,0.15,0.26
"(4,1)",0.8,0.02,21,0.08,0.14,0.16,0.18,0.15,0.29
"(4,1)",0.8,0.02,22,0.08,0.14,0.14,0.18,0.11,0.35
"(4,1)",0.8,0.02,23,0.08,0.13,0.13,0.15,0.13,0.38
"(4,1)",0.8,0.02,24,0.08,0.12,0.11,0.16,0.1,0.43
"(4,1)",0.8,0.02,25,0.08,0.12,0.08,0.15,0.12,0.45
"(4,1)",0.8,0.02,26,0.08,0.11,0.09,0.14,0.1,0.48
"(4,1)",0.8,0.02,27,0.08,0.1,0.1,0.11,0.12,0.49
"(4,1)",0.8,0.02,28,0.07,0.11,0.09,0.11,0.12,0.5
"(4,1)",0.8,0.02,29,0.07,0.11,0.08,0.1,0.08,0.56
"(4,1)",0.8,0.02,30,0.07,0.11,0.07,0.11,0.06,0.58
"(4,1)",0.8,0.02,31,0.07,0.11,0.06,0.09,0.06,0.61
"(4,1)",0.8,0.02,32,0.07,0.11,0.06,0.08,0.05,0.63
"(4,1)",0.8,0.02,33,0.07,0.1,0.07,0.08,0.03,0.65
"(4,1)",0.8,0.02,34,0.07,0.09,0.08,0.08,0.03,0.65
"(4,1)",0.8,0.02,35,0.07,0.09,0.08,0.07,0.03,0.66
"(4,1)",0.8,0.02,36,0.07,0.09,0.08,0.04,0.05,0.67
"(4,1)",0.8,0.02,37,0.07,0.08,0.09,0.03,0.04,0.69
"(4,1)",0.8,0.02,38,0.07,0.07,0.09,0.04,0.03,0.7
"(4,1)",0.8,0.02,39,0.07,0.07,0.07,0.05,0.04,0.7
"(4,1)",0.8,0.02,40,0.07,0.07,0.06,0.06,0.03,0.71
"(4,1)",0.8,0.02,41,0.07,0.07,0.06,0.06,0.0,0.74
"(4,1)",0.8,0.02,42,0.07,0.06,0.06,0.07,0.0,0.74
"(4,1)",0.8,0.02,43,0.07,0.06,0.06,0.06,0.01,0.74
"(4,1)",0.8,0.02,44,0.07,0.06,0.05,0.07,0.0,0.75
"(4,1)",0.8,0.02,45,0.07,0.06,0.05,0.06,0.01,0.75
"(4,1)",0.8,0.02,46,0.07,0.06,0.05,0.06,0.01,0.75
"(4,1)",0.8,0.02,47,0.07,0.06,0.05,0.05,0.02,0.75
"(4,1)",0.8,0.02,48,0.07,0.06,0.05,0.05,0.01,0.76
"(4,1)",0.8,0.02,49,0.07,0.06,0.05,0.02,0.04,0.76
"(4,1)",0.8,0.02,50,0.07,0.06,0.05,0.02,0.03,0.77
"(4,1)",0.8,0.02,51,0.07,0.06,0.05,0.01,0.02,0.79
"(4,1)",0.8,0.02,52,0.07,0.06,0.05,0.01,0.0,0.81
"(4,1)",0.8,0.02,53,0.07,0.05,0.06,0.01,0.0,0.81
"(4,1)",0.8,0.02,54,0.07,0.05,0.06,0.01,0.0,0.81
"(4,1)",0.8,0.02,55,0.07,0.05,0.06,0.01,0.0,0.81
"(4,1)",0.8,0.02,56,0.07,0.05,0.06,0.01,0.0,0.81
"(4,1)",0.8,0.02,57,0.07,0.05,0.06,0.01,0.0,0.81
"(4,1)",0.8,0.02,58,0.07,0.05,0.06,0.01,0.0,0.81
"(4,1)",0.8,0.02,59,0.07,0.05,0.06,0.01,0.0,0.81
"(4,1)",0.8,0.02,60,0.07,0.05,0.06,0.01,0.0,0.81
"(4,1)",0.8,0.02,61,0.07,0.05,0.06,0.01,0.0,0.81
"(4,1)",0.8,0.02,62,0.07,0.05,0.04,0.03,0.0,0.81
"(4,1)",0.8,0.02,63,0.07,0.05,0.04,0.03,0.0,0.81
"(4,1)",0.8,0.02,64,0.07,0.05,0.04,0.03,0.0,0.81
"(4,1)",0.8,0.02,65,0.07,0.05,0.04,0.03,0.0,0.81
"(4,1)",0.8,0.02,66,0.07,0.05,0.02,0.05,0.0,0.81
"(4,1)",0.8,0.02,67,0.07,0.05,0.01,0.06,0.0,0.81
"(4,1)",0.8,0.02,68,0.07,0.05,0.01,0.05,0.01,0.81
"(4,1)",0.8,0.02,69,0.07,0.05,0.01,0.04,0.01,0.82
"(4,1)",0.8,0.02,70,0.07,0.05,0.01,0.02,0.03,0.82
"(4,1)",0.9,0.02,1,0.64,0.36,0.0,0.0,0.0,0.0
"(4,1)",0.9,0.02,2,0.51,0.4,0.09,0.0,0.0,0.0
"(4,1)",0.9,0.02,3,0.48,0.4,0.12,0.0,0.0,0.0
"(4,1)",0.9,0.02,4,0.38,0.45,0.17,0.0,0.0,0.0
